LEKSVIK,buffet,
LEKSVIK,cabinet,
LEKSVIK,children's room series,
LEKSVIK,desk,
LEKSVIK,dining series,
LEKSVIK,hook,
LEKSVIK,rack with 5 hooks,
LEN STJÄRNA,crib comforter,
LEN,crib comforter,
LEN,crib fitted sheet,
LEN,crib pillow,
LEN,crib pillowcase,
LEN,fitted sheet,
LEN,flat sheet,
LEN,mattress protector,
LENA,fabric,
LENDA,fabric,
LENDA,pair of curtains with tie-backs,
LERAN,pendant lamp,
LERBERG CD/DVD,wall shelf,
LERBERG,series,
LERBERG,shelf unit,
LERDAL,chandelier,
LERSTA,reading/floor lamp,
LEVANGER,mirror,
LIALOTTA,plastic-coated fabric,
LIATORP,coffee table,
LIATORP,series,
LIATORP,sofa table,
LIDAN,basket,
LIDAN,basket,set of 2
LIDAN,basket,set of 4
LIDAN,door-mounted storage,
LIDAN,toiletry bag set of 2,
LILL,pair of curtains,
LILLABO,series,
LILLÅNGEN,chest of drawers with 3 drawers,
LILLÅNGEN,end unit,
LILLÅNGEN,glass shelf,
LILLÅNGEN,high cabinet,
LILLÅNGEN,mirror cabinet with 1 door,
LILLÅNGEN,mirror cabinet with 2 doors,
LILLÅNGEN,series,
LILLÅNGEN,shelf,
LILLESAND,bed frame,
LILLHOLMEN,ceiling/wall lamp,
LILLHOLMEN,mirror,
LILLHOLMEN,series,
LILLHOLMEN,wall lamp,
LIMMAREN,4-piece bathroom set,
LIMMAREN,bottle,
LINDMON,enetian blind,
LINDSDAL,handle,
LINDSDAL,knob,
LINDVED,side table,
LINGO,series,
LINNARP,series,
LINUS,chair,
LISELOTT,roller blind,
LIVFULL,plant pot,
LJUSÅS SALBO,table lamp,
LJUSÅS USTA,table lamp,
LJUSÅS UVÅS,table lamp,
LJUSÅS YSBY,table lamp,
LJUSDAL,wall shelf,
LJUSNAN,box with lid,set of 3
LÖBBO,shade,
LOCK,ceiling lamp,
LÖDDER,series,
LOGGA,series,
LÖJA,20-piece cutlery set,
LÖNSBODA,scented candle in glass,
LOSSNEN,replacement brush,
LOTS,mirror,
LÖVA,bed canopy,
LOVIKEN,dual control kitchen faucet,
LUDDE,sheepskin,
LUDVIG,laptop shelf/charging station,
LUDVIG,laptop workstation,
LUDVIG,router/modem wall cabinet,
LUFTIG HOO,50 S exhaust hood,
LUFTIG HOO,50 S exhaust hood,
LUFTIG HOO,50 S exhaust hood,
LUFTIG,exhaust fan,
LUGN,bowl,
LUGN,plate,
LUMMIG,curtain rod set,
LUMMIG/LINDMON,window solution,
LUNS,writing/magnetic board,
LUPIN,enetian blind,
LUSTIFIK,hat/shoe rack,
LUSY KLOSS,duvet cover and pillowcase(s),
LUSY VÄV,duvet cover and pillowcase(s),
LUSY,bedspread/blanket,
LUSY,collection,
LYCKA,series,
LYCKHEM,dining table,
LYCKHEM,occasional table,
LYCKSELE HÅVET,mattress,
LYCKSELE LÖVÅS,mattress,
LYCKSELE MURBO,mattress,
LYCKSELE,series,
LYDUM,rug,flatwoven
LYFT,20-piece cutlery set,
LYKTA,table lamp,
LYSTER,candle dish,
MACKIS,storage rack for writing materials,
MAGASIN,chopping board,set of 2
MAGASIN,cutlery caddy,
MAGASIN,dish drainer,
MAGASIN,rolling pin,
MAGGAN,place mat,
MAGGAN,table-runner,
MAGNESIUM,spotlight,
MAGNESIUM,spotlight system,
MAJBY,chair with armrests,
MAJKEN,fabric,
MAJVOR,chair pad,
MÅLA,series,
MÄLARÖ,series,
MÄLLA,box,
MALM,3-piece headboard/bed shelf set,
MALM,4-drawer chest,
MALM,outh,
MALM,series,
MALMA,mirror,
MALOU,duvet cover and pillowsham(s),
MALTE,bar stool,
MAMMUT,series,
MANDAL,series,
MANDEL,series,
MÅNLJUS,pendant lamp,
MÅNLJUS,table lamp,
MÅNSTAD,corner sofa-bed w storage,left
MÅNSTAD,corner sofa-bed w storage,right
MAREN,toilet seat,
MARGINAL,wall shelf with retaining edge,
MARIEBERG,chair cushion,
MÄRIT,place mat,
MÄRIT,table-runner,
MARIUS,stool,
MARKLAND,floor,
MARKUS,swivel chair,
MARTIN,chair,
MÅSNAN,toiletries bag,
MATA,4-piece dinnerware set,
MATILDA,pair of curtains,
MATTEUS,desk,
MÅTTLIG,milk-frothing jug,
MAVAS,entertainment center,
MEDALJ,pot with lid,
MEDALJ,series,
MELBU,bed frame,
MELDAL,day-bed frame,
MELLTORP,dining table,
MELLTORP,occasional table,
MELODI,pendant lamp,
MERETE,pair of curtains,
METALL DUTT,picture holders,
METALL EPOK,frame for 2 pictures,
METRIK,handle,
MICKE,series,
MIEN,storage box,
MIL,floor lamp,
MIL,work lamp,
MINDE,mirror,
MINNA,fabric,
MINNEN,series,
MIXA,3-piece kitchen utensil set,
MIXTUR,oven/serving dish,
MIXTUR,series,
MJÄLLBY,scented candle in pot,
MJÄLLBY,scented candle in pot with lid,
MJÖD,series,
MJÖNÄS,lantern with block candle,
MJÖNÄS,tealight holder,
MOLGER,mirror,
MOLGER,series,
MOLNIG,chandelier,
MONALIS,fabric,
MONGSTAD,mirror,
MÖRKT,lantern for candle in a metal cup,
MÖRKT,lantern for tealight,
MÖRRUM,bed frame with drawers,
MOSES,swivel chair,
MOSJÖ TV,unit,
MOTORP,series,
MOTTO,bowl,
MUDDUS,drop-leaf table,
MULA,24 building blocks with wagon,
MULA,abacus,
MULA,bead roller coaster,
MULA,crane with blocks,
MULA,shape sorter,
MULA,stack &nest cups,
MULA,stacking rings,
MULA,toy hammering block,
MULIG,clothes bar,
MULIG,clothes rack,
MUSIK,wall lamp,
MUSSLA,2-piece knife set,
MYDAL,bunk bed frame,
MYKEN,table mirror,
MYSA GRÄS,comforter,warmth rate 1
MYSA LJUNG,comforter,warmth rate 3
MYSA RÖNN,comforter,warmth rate 1+3
MYSA RÖNN,comforter,warmth rate 2
MYSA RÖNN,comforter,warmth rate 4
MYSA RÖNN,comforter,warmth rate 6
MYSA STRÅ,comforter,warmth rate 1
MYSA STRÅ,comforter,warmth rate 1+3
MYSA STRÅ,comforter,warmth rate 3
MYSA STRÅ,comforter,warmth rate 5
MYSA VETE,comforter,warmth rate 1
MYSA VETE,comforter,warmth rate 1+3
MYSA VETE,comforter,warmth rate 3
MYSA VETE,comforter,warmth rate 5
NÄCKTEN,bathmat,
NÄCKTEN,hand towel,
NÄCKTEN,shower curtain,
NANDOR,chair,
NÄRHET,series,
NÄSBY,door mat,
NÄSSJÖ,candle holder,
NÄSSJÖ,candlestick,
NÄSTVED,rug,low pile
NÄSUM,series,
NÄTT,20-piece cutlery set,
NEDDA,chair pad,
NEGLINGE,candlestick/tealight holder,
NEKTARIN,self-watering plant pot,
NIDELVA,storage tin with lid,set of 3
NILS,armchair,
NILS,chair,
NILS,stool,
NISSE,folding chair,
NIVÅ,floor liner,
NJUTA,bath brush,
NJUTA,bathrobe,
NJUTA,body puff,
NJUTA,foot file,
NJUTA,foot/nail brush set of 2,
NJUTA,pajamas,
NJUTA,slippers,
NOGA,teething rail for crib,
NOJS,alarm clock,
NOMINELL,pair of armrests,
NOMINELL,swivel chair,
NON,bookcase/picture lighting,
NON,countertop lighting,fluorescent
NON,countertop lighting,halogen
NON,spotlight with shade,
NORBO,wall-mounted drop-leaf table,
NORDANÖ,series,
NORDDAL,bunk bed frame,
NORDEN,dining table,
NORDEN,series,
NORDEN,sideboard,
NORDMYRA,chair,
NORESUND,mirror,
NORESUND,nightstand,
NORNA,chair pad,
NORRESKOG,scented candle in glass,
NORRNÄS,chair,
NORRÖRA,2-piece bathroom dish set,
NORRSKEN,low-voltage wire,
NORRSKEN/DECENNIUM,spotlight,
NORRSKEN/DYGN,spotlight,
NORRSKEN/STRATOSFÄR,spotlight,
NORRSTEN,collection,
NORRTORP,wall shelf,
NORVALD,chair,
NORVALD,chair pad,
NOSTALGISK,series,
NOT,floor uplight,
NOT,floor uplight/reading lamp,
NUMERÄR,countertop,
NUMERÄR,countertop,double-sided
NUMERÄR,sink bowl,
NUTID HDN,650 S exhaust hood,
NUTID,23 S refrigerator/freezer,
NUTID,23 W refrigerator/freezer,
NUTID,25 S refrigerator/freezer,
NUTID,forced air oven,
NUTID,oven,
NUTID,series,
NYFORS,floor lamp,
NYFORS,floor/reading lamp,
NYFORS,table lamp,
NYFORS,work lamp,
NYPONROS,duvet cover and pillowcase(s),
NYSNÖ,2-piece bar set,
NYSNÖ,champagne flute,
NYSNÖ,disposable cup,
NYSNÖ,glass,
NYSNÖ,ice bucket with tongs,
NYSNÖ,mug,
NYSNÖ,mug and saucer,
NYSNÖ,napkin holder,
NYSNÖ,paper napkin,
NYSNÖ,paper plate,
NYSNÖ,paper side plate,
NYSNÖ,pitcher,
NYSNÖ,place mat,
NYSNÖ,serving bowl,
NYSNÖ,serving plate,
NYSNÖ,serving stand,two tiers
NYSNÖ,wine/champagne cooler,
NYSTED,rug,flatwoven
NYTER,paper napkin,
NYTTIG FIL,2 charcoal filter,
NYTTIG FIL,3 charcoal filter,
NYTTIG FIL,4 charcoal filter,
NYTTIG FIL,5 charcoal filter,
NYTTIG,power supply cable w/3-prong plug,
NYTTIG,power supply cable w/4-prong plug,
NYTTJA,frame,
NYTTJA,series,
OBSERVATÖR,unknown,
ODDA,nightstand,
ODDA,series,
ODDA,wall cabinet with sliding door,
ODDVAR,stool,
ÖDMJUK,series,
OFELIA VASS,duvet cover and pillowcase(s),
OFELIA,collection,
OLLE,chair,
OLUNDA,picture,
OLUNDA,series,
OMAR,1 shelf section,
OMAR,1 shelf section/bottle racks,
OMAR,2 shelf sections,
OMAR,basket,
OMAR,shelving unit,
OMAR,system,
OMAR,wine shelf,
OMAR,wire basket,
OMSORG,shoe tree,large
OMSORG,shoe tree,small
OMTYCKT,place mat,
ÖPPEN,bowl,
ÖPPEN,plate,
OPTIMAL,series,
ORCHIDACEAE,potted plant,
ORDENTLIG,place mat,
ORDNING,colander,
ORDNING,cutlery caddy,
ORDNING,dish drainer,
ORDNING,kitchen utensil rack,
ORDNING,scale,
ORDNING,timer,
ORE,shower curtain rod,
ÖRESUND,toilet seat,
ORGEL VRETEN,floor lamp,
ORGEL,series,
ORRLÖT,4-piece bathroom set,
ÖSTERBYMO,frame,
ÖSTERBYMO,frame for 2 pictures,
OTTAVA,pendant lamp,
OVANLIG,vase,
OXEL,box spring cover,
OXSKÄR,single lever kitchen faucet,
PÅLITLIG,vase,
PAPAJA,plant pot,
PAPAVER OVAL,duvet cover and pillowcase(s),
PAPAVER VÅG,duvet cover and pillowcase(s),
PAPAVER,duvet cover and pillowcase(s),
PARAGRAF,caster for hard floors,
PATRIK,swivel chair,
PATRIK,visitor chair,
PATRULL,3 pair of anti-slip socks,
PATRULL FAST,safety gate,
PATRULL SMIDIG,safety gate,
PATRULL SMIDIG,safety gate extension,
PATRULL,bathtub mat,
PATRULL,corner bumper,
PATRULL,drawer/cabinet catch,
PATRULL,multilock,
PATRULL,safety chain,
PATRULL,tub mat,
PAX,system,
PELLO,chair,
PEPPARKAKOR ANNAS,ginger thins in box,
PEPPARKAKOR ANNAS,ginger thins with almonds,
PEPPARKAKOR ANNAS,ginger thins with cappuccino flavor,
PEPPARKAKOR ANNAS,ginger thins with orange-flavor,
PEPPARKAKOR ANNAS,wholemeal ginger thins,
PERISKOP,hook,
